provincia_ciudad;area_ciudad;altura_ciudad;habitantes_ciudad;densidad_ciudad;promedio_ciudad;mediana_ciudad;percentil10_ciudad;percentil25_ciudad;percentil75_ciudad;percentil90_ciudad
Capital Federal_Colegiales;2.29;18;52391;22878.1;173200;183500;143700;151250;196000;208100
Capital Federal_Congreso;4.34;18;137521;31686.8;96600;85000;62500;69750;118750;145500
Capital Federal_Constitucion;2.11;18;41894;19854.8;84100;82500;70000;73500;95000;98200
Capital Federal_Flores;8.6;18;142695;13592.4;151600;162000;110000;138250;168750;175400
Capital Federal_Floresta;2.4;18;39473;16447;100700;95000;82400;87250;112500;119800
Capital Federal_Las Canitas;15.6;18;225970;14485;122300;126000;99300;107000;137250;140900
Capital Federal_Liniers;5.4;18;44234;8191;123900;117500;84500;86250;157250;167500
Capital Federal_Mataderos;7.6;18;64932;8543;147200;142000;99400;135000;175000;192000
Capital Federal_Monserrat;2.21;18;39175;17726;115600;112500;74800;92250;123750;162100
Capital Federal_Monte Castro;2.9;18;34584;11;106300;102000;72700;73750;135000;137700
Capital Federal_Nunez;3.9;18;53005;14001;273400;275000;257900;266250;285000;290000
Capital Federal_Once;4.34;18;137521;31686.8;103000;93000;84500;86000;98750;127000
Capital Federal_Palermo;15.6;18;225970;14485;165400;145000;114100;137500;199500;218100
Capital Federal_Parque Avellaneda;5.2;18;54191;10421;107100;100000;74800;80500;136250;141600
Capital Federal_Parque Centenario;3.8;18;89859;23647;130100;135000;84900;90250;153750;185000
Capital Federal_Parque Chacabuco;2.4;18;56281;16447;104900;98500;65000;90000;123000;145200
Capital Federal_Parque Chas;1.4;18;20657;14755;112700;102500;91800;95000;122500;156400
Capital Federal_Parque Patricios;3.8;18;40885;10759;104600;81000;74300;76250;121500;172000
Capital Federal_Paternal;2.4;18;20053;8355;98400;89500;74700;80250;123250;130000
Capital Federal_Pompeya;6.1;18;63276;10373;87700;85000;70000;75500;90000;107500
Capital Federal_Puerto Madero;2.11;18;7000;3791;303000;330000;175000;320000;340000;350000
Capital Federal_Recoleta;5.72;18;157932;27610;138500;125000;114000;116250;155000;175000
Capital Federal_Retiro;3.81;18;45002;11812;135000;120000;100000;120000;155000;180000
Capital Federal_Saavedra;5.9;18;51723;8766;131600;108000;89900;99000;174000;200100
Capital Federal_San Cristobal;2.06;18;45608;22140;82200;80000;66500;74250;90000;95200
Capital Federal_San Nicolas;2.31;18;33305;14418;132100;130500;85800;102500;156000;177400
Capital Federal_San Telmo;1.24;18;25969;20943;93700;83000;74400;79250;93500;136400
Capital Federal_Tribunales;2.21;18;39175;17726;133200;127000;98500;119750;138750;157500
Capital Federal_Velez Sarsfield;2.4;18;35963;14943;108400;85000;77700;80500;138750;162000
Capital Federal_Versalles;1.5;18;14178;9452;119700;115000;101200;110750;124500;134000
Capital Federal_Villa Crespo;3.8;18;89859;23647;147600;152500;94400;106500;180000;198100
Capital Federal_Villa del Parque;3.6;18;58573;16270;118500;116000;107900;115000;119500;129400
Capital Federal_Villa Devoto;6.6;18;71013;10759;143700;132000;88500;116250;165000;212500
Capital Federal_Villa General Mitre;2.2;18;36090;16404;96300;93000;78500;81000;101500;126000
Capital Federal_Villa Lugano;9.2;18;114253;12418;133100;112500;97600;100500;155000;199200
Capital Federal_Villa Luro;2.6;18;33058;12890;128700;119000;91100;99750;143000;183500
Capital Federal_Villa Ortuzar;1.8;18;22591;18825;118800;122500;94000;107500;133250;136000
Capital Federal_Villa Pueyrredon;3.7;18;40235;10874;128300;134000;88000;99500;154000;159100
Capital Federal_Villa Real;1.5;18;14278;9518.67;122400;120000;98500;104000;143500;150300
Capital Federal_Villa Riachuelo;4.4;18;14960;3400;89000;79000;72000;79000;95000;120000
Capital Federal_Villa Santa Rita;2.3;18;33850;14652;100800;90000;83100;86000;108750;132000
Capital Federal_Villa Soldati;8.7;18;41228;4738;60600;54500;48800;51000;55750;87400
Capital Federal_Villa Urquiza;5.6;18;85587;15957;121800;112000;95000;100000;128750;175300
Corrientes_Corrientes;90;62;352646;3918.29;90700;90000;72000;88000;90000;106700
Chaco_Resistencia;562;50;290723;519.07;97000;85000;77700;79750;113500;122000
Chubut_Escalante;14015;447;186583;13.31;165900;165000;130000;150000;186750;192000
Chubut_Puerto Madryn;330;17;115353;304.2;86500;85000;69500;75000;88750;107500
Chubut_Trelew;264.63;11;109425;6200;60700;60000;54500;55500;65000;70000
Entre Rios_Colan;70.13;57;29835;936.51;61800;58000;45000;55750;65000;84100
Entre Rios_Concordia;3.26;21;152282;63.8;98500;97500;59000;87500;116250;135500
Entre Rios_Gualeguaychu;70.13;15;81569;936.51;113400;107500;95300;97750;121250;151000
Entre Rios_Parana;137;77;247863;1809.22;91000;92500;77500;86000;100000;106400
Jujuy_San Salvador de Jujuy;19;1259;265249;12871.56;90300;85000;69500;73500;110000;115000
Mendoza_Carrodilla;17.14;894;23886;1393.6;75600;75000;65000;67500;80750;83300
Mendoza_Chacras de Coria;13.5;902;12428;920.6;137500;117500;115000;115000;150000;182000
Mendoza_Godoy Cruz;75;730;191299;2550.6;82100;77000;64400;66750;85250;119100
Mendoza_Las Heras;131.77;725;230507;1616.97;110200;99000;78500;95750;126000;134200
Mendoza_Lujan de Cuyo;11;958;27594;2508.5;81200;79000;74800;75250;83750;91000
Mendoza_Maipu;617;715;191403;310.21;99900;85000;69900;70000;118750;135500
Mendoza_Malargue;131.77;1416;27660;1616.97;128000;130000;90000;120000;140000;144000
Mendoza_Mendoza;57;769;1115041;2018.3;88900;88000;65000;80000;104500;110500
Misiones_Posadas;324;124;275988;286;98100;90000;67000;67250;121000;148000
Neuquen_Anelo;7303;396;2689;0.37;73800;70000;68000;68000;75000;88000
Neuquen_Confluencia;7352;812;362673;49.3;87500;86500;78200;81250;97500;100500
